Site,Room,Strata,Photo No,Image,Type,Assocnoeg,Box,GridE,GridN,Orientation,DepBeg,DepEnd,Date,CDRH: Date,Photographer,Feature No,Signi Art No,Other No,"CDRH: Human Remains 
(y/n)",Subject,CDRH: Subject Category 1,CDRH: Subject Category 2,CDRH: Subject Category 3,Comments,Storage Location,Data Entry,CDRH: Image Quality Notes,CDRH: Notes
LA 8846,082W,,07309,slide,,no,PA009,16E,06-07S,West,6.36,6.36,0814978,19780814,Peter George,.,,,N,,Artifact-lithic,,,"platform, pits (observatory)",Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004A,no data,01267,slide,,no,PA001,44W,36-37S,Northwest,5.7,6.08,0806973,19730806,Peter George,004A-002,,,Y,,Feature-burial,,,burial; overview,Salmon Curation Office,N Espinosa,,
LA 8846,004A,no data,01268,slide,,no,PA001,44W,36-37S,Northwest,5.7,6.08,0806973,19730806,Peter George,004A-002,,,Y,,Feature-burial,,,burial; overview,Salmon Curation Office,N Espinosa,,
LA 8846,004A,no data,01269,slide,,no,PA001,44W,36-37S,North,5.7,6.08,0806973,19730806,Peter George,004A-002,,,Y,,Feature-burial,,,burial; pit cover,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004A,no data,01270,slide,,no,PA001,44W,36-37S,North,5.7,6.08,0806973,19730806,Peter George,004A-002,,,Y,,Feature-burial,,,burial; pit cover,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004A,no data,01271,slide,,no,PA001,44W,36-37S,North,5.7,6.08,0806973,19730806,Peter George,004A-002,,,Y,,Feature-burial,Artifact-other,,burial; matting,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004A,no data,01272,slide,,no,PA001,44W,36-37S,North,5.7,6.08,0806973,19730806,Peter George,004A-002,,,Y,,Feature-burial,Artifact-other,,burial; matting,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004A,no data,01273,slide,,no,PA001,44W,36-37S,West,5.7,6.08,0806973,19730806,Peter George,004A-002,,,Y,,Feature-burial,Artifact-other,,burial; matting,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004A,no data,01274,slide,,no,PA001,44W,36-37S,Northwest,5.7,6.08,0806973,19730806,Peter George,004A-002,,,Y,,Feature-burial,Artifact-ceramic,,burial; pottery,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004A,no data,01275,slide,,no,PA001,44W,36-37S,North,5.7,6.08,0806973,19730806,Peter George,004A-002,,,Y,,Feature-burial,Artifact-ceramic,,burial; pottery; overview,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004A,no data,01276,slide,,no,PA001,44W,36-37S,North,5.7,6.08,0806973,19730806,Peter George,004A-002,,,Y,,Feature-burial,,,burial; overview,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004A,no data,01277,slide,,no,PA001,44W,36-37S,North,5.7,6.08,0806973,19730806,Peter George,004A-002,,,Y,,Feature-burial,,,burial; overview,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004A,no data,01278,slide,,no,PA001,44W,36-37S,North,5.7,6.08,0806973,19730806,Peter George,004A-002,,,Y,,Feature-burial,,,burial; overview,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004A,no data,01279,slide,,no,PA001,44W,36-37S,North,5.7,6.08,0806973,19730806,Peter George,004A-002,,,Y,,Feature-burial,Artifact-other,,burial; cover and matting,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004A,no data,01280,slide,,no,PA001,44W,36-37S,North,5.7,6.08,0806973,19730806,Peter George,004A-002,,,Y,,Feature-burial,,,burial; burned matrix with wood and matting,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004A,no data,01281,slide,,no,PA001,44W,36-37S,North,5.7,6.08,0806973,19730806,Peter George,004A-002,,,Y,,Feature-burial,Artifact-other,,burial; burned matting,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004A,no data,01282,slide,,no,PA001,44W,36-37S,West,5.7,6.08,0806973,19730806,Peter George,004A-002,,,Y,,Feature-burial,Artifact-other,,burial; matting detail,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004A,no data,01283,slide,,no,PA001,44W,36-37S,Northwest,5.7,6.08,0806973,19730806,Peter George,004A-002,,,Y,,Feature-burial,Artifact-ceramic,,"burial; pottery, in situ",Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004A,no data,01284,slide,,no,PA001,44W,36-37S,Northwest,5.7,6.08,0806973,19730806,Peter George,004A-002,,,Y,,Feature-burial,Artifact-ceramic,,"burial; pottery, in situ",Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004A,no data,01285,slide,,no,PA001,44W,36-37S,Northwest,5.7,6.08,0808973,19730808,Peter George,004A-002,,,Y,,Feature-burial,,,burial; fully open overview,Salmon Curation Office,N Espinosa,,DepBeg is 5.90; DepEnd is 6.06
LA 8846,004A,no data,01286,slide,,no,PA001,44W,36-37S,Northwest,5.7,6.08,0808973,19730808,Peter George,004A-002,,,Y,,Feature-burial,,,burial; fully open overview,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004A,no data,01287,slide,,no,PA001,44W,36-37S,North,5.7,6.08,0808973,19730808,Peter George,004A-002,,,Y,,Feature-burial,,,"burial; detail, fully open overview",Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004A,no data,01288,slide,,no,PA001,44W,36-37S,North,5.7,6.08,0808973,19730808,Peter George,004A-002,,,Y,,Feature-burial,,,"burial; detail, fully open overview",Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004A,no data,01389,slide,,no,PA001,,,Northwest,,,0869973,19730806,Peter George,004A-002,,,Y,,Feature-burial,Artifact-ceramic,,burial; pottery,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004W,,01368,slide,,no,PA001,44W,41-42S,West,6.62,6.74,0815972,19720815,Peter George,004W-001,,,Y,,Feature-burial,,,burial; 004b-004,Salmon Curation Office,N Espinosa,,
LA 8846,004W,,01369,slide,,no,PA001,44W,41-42S,Southwest,6.7,6.78,0815972,19720815,Peter George,004W-001,,,Y,,Feature-burial,,,burial; 004b-004; very dark exposure,Salmon Curation Office,N Espinosa,Under-exposed,
LA 8846,004W,,01370,slide,,no,PA001,44W,41-42S,Southwest,6.7,6.78,0815972,19720815,Peter George,004W-001,,,Y,,Feature-burial,,,burial; 004b-004; very dark exposure,Salmon Curation Office,N Espinosa,Under-exposed,
LA 8846,004W,,01371,slide,,no,PA001,44W,41-42S,West,6.7,6.78,0815972,19720815,Peter George,004W-001,,,Y,,Feature-burial,,,burial; 004b-004; very dark exposure,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004W,,01372,slide,,no,PA001,,,Southwest,,,0815972,19720815,Peter George,004W-001,,,Y,,Feature-burial,,,burial; 004b-004; very dark exposure,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004W,,01373,slide,,no,PA001,,,Southwest,,,0815972,19720815,Peter George,004W-001,,,Y,,Feature-burial,,,burial; 004b-004; very dark exposure,Salmon Curation Office,N Espinosa,Under-exposed,Photo board not included
LA 8846,004W,,01374,slide,,no,PA001,,,West,,,0629973,19730629,Peter George,004W-001,,,Y,,Feature-burial,,,burial; 004b-004,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004W,,01375,slide,,no,PA001,44-45W,41S,South,6.76,6.85,0629973,19730629,Peter George,004W-001,,,Y,,Feature-burial,,,burial; 004b-004,Salmon Curation Office,N Espinosa,,
LA 8846,004W,,01376,slide,,no,PA001,44-45W,41S,Southwest,6.76,6.85,0629973,19730629,Peter George,004W-001,,,Y,,Feature-burial,,,burial; 004b-004,Salmon Curation Office,N Espinosa,,
LA 8846,004W,,01377,slide,,no,PA001,44-45W,41S,East,,,0705973,19730705,Peter George,004W-001,,,Y,,Feature-burial,,,burial; 004b-004,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004W,,01378,slide,,no,PA001,44-45W,41S,Southwest,6.83,6.9,0705973,19730705,Peter George,004W-001,,,Y,,Feature-burial,,,burial; 004b-004,Salmon Curation Office,N Espinosa,,
LA 8846,004W,,01379,slide,,no,PA001,44-45W,41S,South,6.83,6.9,0705973,19730705,Peter George,004W-001,,,Y,,Feature-burial,,,burial; 004b-004,Salmon Curation Office,N Espinosa,,
LA 8846,004W,,01380,slide,,no,PA001,44-45W,41S,South,6.83,6.9,0705973,19730705,Peter George,004W-001,,,Y,,Feature-burial,,,burial; 004b-004,Salmon Curation Office,N Espinosa,,
LA 8846,004W,,01381,slide,,no,PA001,44-45W,41S,Southwest,6.83,6.9,0705973,19730705,Peter George,004W-001,,,Y,,Feature-burial,,,burial; 004b-004,Salmon Curation Office,N Espinosa,,
LA 8846,004W,,01382,slide,,no,PA001,,,East,,,0705973,19730725,Peter George,004W-001,,,Y,,Feature-burial,,,burial; 004b-004,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004W,,01383,slide,,no,PA001,,,East,,,0705973,19730705,Peter George,004W-001,,,Y,,Feature-burial,,,burial; 004b-004,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004W,,01384,slide,,no,PA001,,,East,,,0705973,19730705,Peter George,004W-001,,,Y,,Feature-burial,,,burial; 004b-004,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004W,,01385,slide,,no,PA001,43-44W,41S,South,6.76,6.93,0709973,19730709,Peter George,004W-001,,,Y,,Feature-burial,,,burial; 004b-004,Salmon Curation Office,N Espinosa,,
LA 8846,004W,,01386,slide,,no,PA001,,,East,,,0709973,19730709,Peter George,004W-001,,,Y,,Feature-burial,,,burial; 004b-004,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,004W,,01387,slide,,no,PA001,,,East,,,0709973,19730709,Peter George,004W-001,,,Y,,Feature-burial,,,burial; 004b-004,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,016P,,01839,slide,,no,PA002,50E,24S,Southwest,6.19,6.19,0717975,19750717,Peter George,016P-001,,,N,,Feature-floor,,,"""Fea 1""",Salmon Curation Office,N Espinosa,,
LA 8846,016P,,01840,slide,,no,PA002,50E,24S,West,6.19,6.19,0717975,19750717,Peter George,016P-001,,,N,,Feature-floor,,,"""Fea 1""",Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,018P,,01863,slide,,no,PA002,,,East,,,0811975,19750811,Peter George,018P-001,,,N,,Feature-burial,,,burial; metate or grave cover,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,018P,,01864,slide,,no,PA002,,,East,,,0811975,19750811,Peter George,018P-001,,,N,,Feature-burial,Artifact-ceramic,,burial; ceramic vessel,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,018P,,01865,slide,,no,PA002,52E,14S,Southeast,6.87,7.08,0811975,19750811,Peter George,018P-001,,,N,,Wall,,,SE corner,Salmon Curation Office,N Espinosa,Under-exposed,
LA 8846,018P,,01866,slide,,no,PA002,,,East,,,0811975,19750811,Peter George,018P-001,,,N,,Feature-burial,,,burial; metate or grave cover,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,018P,,01867,slide,,no,PA002,,,Northeast,,,0811975,19750811,Peter George,018P-001,,,N,,Feature-burial,Artifact-ceramic,,burial; ceramic vessel,Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,018P,,01868,slide,,no,PA002,52E,14S,East,6.87,7.08,0811975,19750811,Peter George,018P-001,,,N,,Feature-burial,Wall,,E wall,Salmon Curation Office,N Espinosa,,
LA 8846,018P,,01869,slide,,no,PA002,,,South,,,0812975,19750812,Peter George,018P-001,,,Y,,Feature-burial,Artifact-ceramic,,"burial, partially exposed; vessel, partially exposed",Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,018P,,01870,slide,,no,PA002,,,South,,,0812975,19750812,Peter George,018P-001,,,Y,,Feature-burial,Artifact-ceramic,,"burial, partially exposed; vessel, partially exposed",Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,020P,,01905,slide,,no,PA003,44-45E,23-24S,East,6.32,6.32,0805977,19770805,Peter George,020P-019,,,Y,,Feature-burial,,,"burial, overview",Salmon Curation Office,N Espinosa,,
LA 8846,020P,,01906,slide,,no,PA003,44-45E,23-24S,East,6.32,6.32,0805977,19770805,Peter George,020P-019,,,Y,,Feature-burial,,,"burial, overview",Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,020P,,01907,slide,,no,PA003,44-45E,23-24S,East,6.32,6.32,0805977,19770805,Peter George,020P-019,,,Y,,Feature-burial,,,"burial, overview",Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,031W,,02160,slide,,no,PA003,,,South,,,0712974,19740712,Peter George,031W-011,,,N,,Artifact-other,,,"baskets, in situ with 031W-013",Salmon Curation Office,N Espinosa,,Photo board not included
LA 8846,031W,,02161,slide,,no,PA003,025W,00-02N,South,5.75,5.75,0712974,19740712,Peter George,031W-011,,,N,,Artifact-other,,,"baskets, in situ with 031W-013",Salmon Curation Office,N Espinosa,,
LA 8846,031W,,02162,slide,,no,PA003,025W,00-02N,South,5.75,5.75,0712974,19740712,Peter George,031W-011,,,N,,Floor,,,"baskets, in situ with 031W-013",Salmon Curation Office,N Espinosa,,
LA 8846,031W,,02163,slide,,no,PA003,,,South,,,0712974,19740712,Peter George,031W-011,,,N,,Artifact-other,,,"baskets, in situ with 031W-013",Salmon Curation Office,N Espinosa,,Photo board not included
