SA “Type”,Destination SPARC table?,Notes,PFR Modification,,,
4 bone tools,bone inventory,,,,,
adobe plug,ceramic inventory,,,,,
animal skull,bone inventory,,,,,
antler,bone inventory?,,,,,
anvil,lithic inventory,,,,,
arrow shaft,perishable,,,,,
axe,lithic inventory,,,,,
baked shale pendant,ornament,,,,,
bark,wood inventory,,,,,
basket,perishable,,,,,
basket impression,perishable,,,,,
basket?,perishable,,,,,
basketry,perishable,,,,,
bead,ornament,,,,,
bin lid,lithic inventory,Assuming they’re all lithic,,,,
bird fetish,ornament,hematite,,,,
bone,bone inventory,,,,,
bone,bone inventory,,,,,
bone,bone inventory,,,,,
bone awl,bone inventory,,,,,
bone awl,bone inventory,,,,,
bone bead,ornament,,,,,
bone beads,ornament,,,,,
bone scraper,bone inventory,,,,,
bone tool,bone inventory,,,,,
bow,wood inventory,,,,,
bow string,perishable,,,,,
bundle,perishable,"2, one is a woven pouch",,,,
burial cover,wood inventory or lithic inventory (depending on whether it’s stone or wood…),"some wood, some stone",,,,
calcite bead,ornament,,,,,
ceramic chinking,ceramic inventory,,,,,
ceramic ladle,ceramic inventory,,,,,
ceramic sherd,ceramic inventory,,,,,
ceramic tool,ceramic inventory,,,,,
ceramic vessel,whole vessel table,,,,,
ceramics,ceramic inventory,,,,,
chopper,lithic inventory,,,,,
chopper-pounder,lithic inventory,,,,,
cobble,lithic inventory,,,,,
cordage,perishable,,,,,
core,lithic inventory,,,,,
cotton artifact,perishable,,,,,
cotton cloth,perishable,,,,,
cradle board,wood inventory,,,,,
deer bone,bone inventory,,,,,
deer mandible,bone inventory,,,,,
digging stick,wood inventory,,,,,
door slab,lithic inventory,,,,,
drill,lithic inventory,,,,,
effigy,ornament,,,,,
feather mold,perishable,,,,,
fiber artifact,perishable,,,,,
gaming piece,ceramic inventory,ceramic sherd,,,,
grass artifact,perishable,,,,,
grinding slab,lithic inventory,,,,,
ground stone,lithic inventory,,,,,
gypsum pendant,ornament,,,,,
hammerstone,lithic inventory,,,,,
hatch cover,lithic inventory,,,,,
hematite,lithic inventory,,,,,
hoe,lithic inventory,,,,,
inlay-mosaic piece,ornament,,,,,
jet pendant,ornament,,,,,
juniper bark strips,wood inventory,,,,,
juniper wood,wood inventory,,,,,
knot,perishable,,,,,
ladle handle,ceramic inventory,,,,,
laminite,lithic inventory,,,,,
leather artifact,perishable,,,,,
lithic artifact,lithic inventory,,,,,
lithic tool,lithic inventory,,,,,
macaw,bone inventory,,,,,
mano,lithic inventory,,,,,
mano,lithic inventory,,,,,
mat or blind,perishable,,,,,
matting,perishable,,,,,
maul,lithic inventory,,,,,
metate,lithic inventory,,,,,
metate & mano,lithic inventory,,,,,
milling bin slab,lithic inventory,,,,,
milling slab,lithic inventory,,,,,
mineral,lithic inventory,,,,,
miniature arrows,perishable,,,,,
modified cobble,lithic inventory,,,,,
mortar,lithic inventory,,,,,
olivella shell,ornament,,,,,
organic material,perishable,,,,,
ornament,ornament,,,,,
pendant,ornament,,,,,
pestle,lithic inventory,,,,,
pigment stone,lithic inventory,,,,,
pigment-stained stone,lithic inventory,,,,,
piki stone,lithic inventory,,,,,
polishing stone,lithic inventory,,,,,
pot cover,lithic inventory,"some stone, others unidentified",,,,
pot rest,perishable?,,,,,
pouch,perishable,,,,,
prayer sticks,perishable,,,,,
projectile point,lithic inventory,,,,,
projectile point cache,lithic inventory,,,,,
quartz crystal,lithic inventory,,,,,
rabbit fur or turkey feather robe?,perishable,,,,,
rabbit stick,wood inventory,,,,,
reed bundle,perishable,,,,,
retouched flake,lithic inventory,,,,,
robe?,perishable,,,,,
sandal,perishable,,,,,
"sandal, band, or pad?",perishable,,,,,
sandstone seat,lithic inventory,,,,,
shaped wood pole,wood inventory,,,,,
shell bead,ornament,,,,,
slab,lithic inventory,,,,,
slab,lithic inventory,,,,,
slab burial cover,lithic inventory,,,,,
slab/cooking stone,lithic inventory,,,,,
stone bead,ornament,,,,,
stone bracelet,ornament,,,,,
stone disk,lithic inventory,,,,,
tchamahia,lithic inventory,,,,,
textile,perishable,,,,,
turquoise artifact,lithic inventory,,,,,
turquoise bead,ornament,,,,,
turquoise inlay,ornament,,,,,
turquoise pendant,ornament,,,,,
twine,perishable,,,,,
unknown artifact,,,,,,
water serpent effigy,lithic inventory,,,,,
weaving tool,wood inventory,,,,,
wood artifact,wood inventory,,,,,
wooden beam,wood inventory,,,,,
wooden grave covering,wood inventory,,,,,
wooden grave lining,wood inventory,,,,,
wooden plank,wood inventory,,,,,
wooden poles,wood inventory,,,,,
yucca artifact,perishable,,,,,
yucca bundle,perishable,,,,,
yucca fiber twine bag,perishable,,,,,
